id,inDegree,keywords
http://electrumsqbjbyzb2zlhidv66yynzbop33vzxjj7su2k5wy6tur3xwyd.onion,123,bitcoin|hack|btc
http://bithacklfxiag2kysa7inceduv3eijqmcbms26w25cmgwuwga4ucbaqd.onion,200,bitcoin|btc
http://pqp55unnbrxatj4qsjoz54ahpz3fpkpalxravvxjyu2wa4wjkg6wokqd.onion,119,hack|crack|bitcoin|encrypt
http://l7vh56hxm3t4tzy75nxzducszppgi45fyx2wy6chujxb2rhy7o5r62ad.onion/gotoad.php?href=http://puyr3jb76flvqemhkllg5bttt2dmiaexs3ggmfpyewc44vt5265uuaad.onion&ad_id=OW5OOWJud2I1ZElTL2lsK2YxOGZSUT09OjpvEdf3mQWQ3UTU8BhKviGU,113,hack|encrypt|bitcoin|btc|crack|ddos|phish|breach
http://yettloehikjnxdy4c2h3uosy52slyke7ap7lsxjo27bxrf74wzwtkvid.onion,140,hack|bitcoin|malwar|breach|btc
http://myrukz57fxg6g52minnbl3ek3xbgocalld25d6nsls3lqlb5wzokltad.onion/html/links/dc_press/dc_press.html,126,hack|threat|exploit|vulner|ransomwar|phish|bitcoin|encrypt|crack|malwar|botnet|backdoor|breach|mitm|skim|ddos|trojan|inject|virus|firewal|snif|csrf|eavesdrop|rootkit|worm
http://xxqy4yzmp7itns6vbvfdytzygonof6k42wxvxgoswz6mw5v2f2ae2xad.onion/all-tor-sites-in-hidden-wiki.html,321,hack
http://oniondiricuc4x2y5qbucg4jyp2ael5rxy7aahy5f4fbars2jkkf7vad.onion/redir/site/2,119,bitcoin|exploit|hack|btc|ransomwar|backdoor|ddos|payload|encrypt|xss|crack|spywar|script|threat|skim
http://222666anw5dmepdkh2fxh2ug5ewb2yapbxytaes2hzploqxg5qcgfdyd.onion/?cat=18&pg=0&lang=cn,570,bitcoin|btc|exploit|hack|backdoor|ddos|xss|encrypt
http://kxlqyibesucrasf5std4rydtxxh5qoqh7alel7vsfikhw364a4xcm6yd.onion/sitemap/index.html,114,bitcoin|hack|btc
